0,Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Emission_Norm,Engine_Location,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Body_Type,City_Mileage,Highway_Mileage,Kerb_Weight,Ground_Clearance,Front_Suspension,Rear_Suspension,Front_Track,Rear_Track,Power,torque,Seating_Capacity,Wheelbase,Boot_Space,Minimum_Turning_Radius,Number_of_Airbags
295,Mahindra,Xuv three hundred,1.5 W8 (O),1214130,1497,0,BS 6,"Front, Transverse",42,Diesel,1617,3995,1821,SUV,0,0,0,180,MacPherson Strut with anti-roll bar,Twist beam suspension with coil spring,0,0,115,300,5,2600,259,5.3,2
296,Mahindra,Xuv three hundred,1.5 W8 Amt,1149800,1497,0,BS 6,"Front, Transverse",42,Diesel,1617,3995,1821,SUV,0,0,0,180,MacPherson Strut with anti-roll bar,Twist beam suspension with coil spring,0,0,115,300,5,2600,259,5.3,2
297,Mahindra,Xuv three hundred,1.5 W8 (O) Amt,1269131,1497,0,BS 6,"Front, Transverse",42,Diesel,1617,3995,1821,SUV,0,0,0,180,MacPherson Strut with anti-roll bar,Twist beam suspension with coil spring,0,0,115,300,5,2600,259,5.3,2
298,Mahindra,Xuv three hundred,1.5 W6 Amt,999000,1497,4,BS 6,"Front, Transverse",42,Diesel,1617,3995,1821,SUV,0,0,0,180,MacPherson Strut with anti-roll bar,Twist beam suspension with coil spring,0,0,115,300,5,2600,259,5.3,2
299,Renault,Lodgy,85 Ps Std,863299,1461,4,BS IV,"Front, Transverse",50,Diesel,1697,4498,1751,MUV,21.04,0,1299,174,0,0,1490,1478,85,200,8,2810,207,5.55,0
300,Renault,Lodgy,85 Ps Rxe 8 Seater,964199,1461,4,BS IV,"Front, Transverse",50,Diesel,1697,4498,1751,MUV,21.04,0,1299,174,0,Torsion Beam with Anti roll bars,1490,1478,85,200,8,2810,207,5.55,0
301,Renault,Lodgy,Stepway Rxz 110Ps 8-Seater,1211599,1461,4,BS IV,"Front, Transverse",50,Diesel,1697,4498,1751,MUV,21.04,0,1338,174,2-link double-wishbone aluminum-alloy suspension with aluminum subframe,3-link rigid axle with coil spring,1490,1478,110,245,0,2810,759,5.55,2
302,Renault,Lodgy,Stepway Rxz 110Ps 7-Seater,1211599,1461,4,BS IV,"Front, Transverse",50,Diesel,1697,4498,1751,MUV,21.04,0,1368,174,2-link double-wishbone aluminum-alloy suspension with aluminum subframe,"3 link, coil spring suspension",1490,1478,110,245,7,2810,207,5.55,2
303,Renault,Lodgy,Stepway Rxl 85Ps 8-Seater,1053899,1461,4,BS IV,"Front, Transverse",50,Diesel,1697,4498,1751,MUV,21.04,0,1299,174,0,0,1490,1478,85,200,8,2810,207,5.55,2
304,Renault,Lodgy,Stepway Rxz 85Ps 8-Seater,1130099,1461,4,BS IV,"Front, Transverse",50,Diesel,1697,4498,1751,MUV,21.04,0,1299,174,0,0,1490,1478,85,200,8,2810,207,5.55,2
