0,Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Emission_Norm,Engine_Location,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Body_Type,City_Mileage,Highway_Mileage,Kerb_Weight,Ground_Clearance,Front_Suspension,Rear_Suspension,Front_Track,Rear_Track,Power,torque,Seating_Capacity,Wheelbase,Boot_Space,Minimum_Turning_Radius,Number_of_Airbags
0,Tata,Nano Genx,Xt,292667,624,2,BS IV,"Rear, Transverse",24,Petrol,1652,3164,1750,Hatchback,23.6,0,660,180,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325,1315,38,51,4,2230,110,4,0
1,Tata,Nano Genx,Xe,236447,624,2,BS IV,"Rear, Transverse",24,Petrol,1652,3164,1750,Hatchback,23.6,0,725,180,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325,1315,38,51,4,2230,110,4,0
2,Tata,Nano Genx,Emax Xm,296661,624,2,BS IV,"Rear, Transverse",15,CNG,1652,3164,1750,Hatchback,0,0,710,180,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325,1315,38,51,4,2230,110,4,0
3,Tata,Nano Genx,Xta,334768,624,2,BS IV,"Rear, Transverse",24,Petrol,1652,3164,1750,Hatchback,23.6,0,725,180,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325,1315,38,51,4,2230,94,4,0
4,Tata,Nano Genx,Xm,272223,624,2,BS IV,"Rear, Transverse",24,Petrol,1652,3164,1750,Hatchback,23.6,0,725,180,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325,1315,38,51,4,2230,110,4,0
5,Tata,Nano Genx,Xma,314815,624,2,BS IV,"Rear, Transverse",24,Petrol,1652,3164,1750,Hatchback,23.6,0,710,180,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325,1315,38,51,4,2230,94,4,0
6,Datsun,Redi-Go,D,279650,799,3,BS IV,"Front, Transverse",28,Petrol,1541,3429,1560,Hatchback,21.38,24,0,185,Double Pivot Arm,H-type Torsion Beam,0,0,54,72,5,2348,222,4.7,0
7,Datsun,Redi-Go,T,351832,799,3,BS IV,"Front, Transverse",28,Petrol,1541,3429,1560,Hatchback,21.38,24,0,185,Double Pivot Arm,H-type Torsion Beam,0,0,54,72,5,2348,222,4.7,0
8,Datsun,Redi-Go,A,333419,799,3,BS IV,"Front, Transverse",28,Petrol,1541,3429,1560,Hatchback,21.38,24,0,185,Double Pivot Arm,H-type Torsion Beam,0,0,54,72,5,2348,222,4.7,0
9,Datsun,Redi-Go,S,362000,799,3,BS IV,"Front, Transverse",28,Petrol,1541,3429,1560,Hatchback,21.38,24,0,185,Double Pivot Arm,H-type Torsion Beam,0,0,54,72,5,2348,222,4.7,0
10,Datsun,Redi-Go,1.0 S,390000,999,3,BS IV,"Front, Transverse",28,Petrol,1541,3429,1560,Hatchback,0,0,0,185,Double Pivot Arm,H-type Torsion Beam,0,0,68,91,5,2348,222,4.7,0
11,Datsun,Redi-Go,1.0 S Amt,437065,999,3,BS IV,"Front, Transverse",28,Petrol,1541,3429,1560,Hatchback,0,0,0,185,Double Pivot Arm,H-type Torsion Beam,0,0,68,91,5,2348,222,4.7,0
12,Renault,Kwid,Rxe 0.8,353290,799,3,BS 6,"Front, Transverse",28,Petrol,1490,3731,1579,Hatchback,25.17,0,669,184,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,0,0,54,72,5,2422,300,0,1
13,Renault,Kwid,Std 0.8,283290,799,3,BS 6,"Front, Transverse",28,Petrol,1490,3731,1579,Hatchback,25.17,0,669,184,MacPherson Struts With Lower Transverse Links,Twist beam suspension with coil spring,0,0,54,72,5,2442,300,0,1
14,Renault,Kwid,Rxl 0.8,383290,799,3,BS 6,"Front, Transverse",28,Petrol,1490,3731,1579,Hatchback,25.17,0,669,184,MacPherson Struts With Lower Transverse Links,Twist beam suspension with coil spring,0,0,54,72,5,2422,300,0,1
15,Renault,Kwid,Rxt 0.8,413290,799,3,BS 6,"Front, Transverse",28,Petrol,1490,3731,1580,Hatchback,25.17,0,669,184,MacPherson Struts With Lower Transverse Links,Twist beam suspension with coil spring,0,0,54,72,5,2422,300,0,1
16,Renault,Kwid,Rxt 1.0,433290,999,3,BS 6,"Front, Transverse",28,Petrol,1490,3731,1579,Hatchback,25.17,0,669,184,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,0,0,68,91,5,2422,300,0,1
17,Renault,Kwid,Climber 1.0 Mt,454490,999,3,BS 6,"Front, Transverse",28,Petrol,1490,3731,1579,Hatchback,25.17,0,669,184,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,0,0,68,91,5,2422,300,0,1
18,Renault,Kwid,Rxt Amt 1.0,463290,999,3,BS 6,"Front, Transverse",28,Petrol,1490,3731,1579,Hatchback,25.17,0,669,184,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,0,0,68,91,5,2422,300,0,1
19,Renault,Kwid,Climber Amt 1.0,484490,999,3,BS 6,"Front, Transverse",28,Petrol,1490,3731,1579,Hatchback,25.17,0,669,184,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,0,0,68,91,5,2422,300,0,1
20,Renault,Kwid,Rxt (O) 1.0,440990,999,3,BS 6,"Front, Transverse",28,Petrol,1490,3731,1579,Hatchback,25.17,0,669,184,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,0,0,68,91,5,2422,300,0,2
21,Renault,Kwid,Rxt (O) Amt 1.0,470990,999,3,BS 6,"Front, Transverse",28,Petrol,1490,3731,1579,Hatchback,25.17,0,669,184,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,0,0,68,91,5,2422,300,0,2
22,Renault,Kwid,Climber (O) Mt 1.0,462190,999,3,BS 6,"Front, Transverse",28,Petrol,1490,3731,1579,Hatchback,25.17,0,669,184,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,0,0,68,91,5,2422,300,0,2
23,Renault,Kwid,Climber (O) Amt 1.0,492190,999,3,BS 6,"Front, Transverse",28,Petrol,1490,3731,1579,Hatchback,25.17,0,669,184,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,0,0,68,91,5,2422,300,0,2
24,Maruti Suzuki,Eeco,5 Str,352136,1196,4,BS 6,"Front, Longitudinal",40,Petrol,1800,3675,1475,MPV,12,15,920,160,McPherson struts,3 Link Rigid,1280,1290,73,101,5,2350,400,4.5,1
25,Maruti Suzuki,Eeco,7 Str,380573,1196,4,BS 6,"Front, Longitudinal",40,Petrol,1800,3675,1475,MPV,12,15,940,160,McPherson struts,3 Link Rigid,1280,1290,74,101,7,2350,250,4.5,1
26,Maruti Suzuki,Eeco,5 Str With Ac+Htr,392967,1196,4,BS 6,"Front, Longitudinal",40,Petrol,1800,3675,1475,MPV,11,15,928,160,McPherson struts,3 Link Rigid,1280,1290,73,101,5,2350,400,4.5,0
27,Maruti Suzuki,Eeco,5 Str With Ac+Htr Cng,466057,1196,4,BS 6,"Front, Longitudinal",40,CNG,1800,3675,1475,MPV,0,0,1050,160,McPherson Strut,3 Link Rigid,1280,1290,62,85,5,2350,400,4.5,1
28,Maruti Suzuki,Eeco,5 Str With Htr Cng,425255,1196,4,BS 6,"Front, Longitudinal",40,CNG,1800,3675,1475,MPV,0,0,1030,160,McPherson struts,3 Link Rigid,1280,1290,62,85,5,2350,400,4.5,1
29,Maruti Suzuki,Alto KTen,Lxi,377588,998,3,BS IV,"Front, Transverse",35,Petrol,1475,3545,1490,Hatchback,14,17,745,160,Gas Filled Mc Pherson Strut,3-link rigid axle Suspension,1295,1290,68,90,5,2360,177,4.6,1
30,Maruti Suzuki,Alto KTen,Vxi,394036,998,3,BS IV,"Front, Transverse",35,Petrol,1475,3545,1490,Hatchback,14,17,750,160,Gas Filled Mc Pherson Strut,3-link rigid axle Suspension,1295,1290,68,90,5,2360,177,4.6,1
31,Maruti Suzuki,Alto KTen,Lx,360843,998,3,BS IV,"Front, Transverse",35,Petrol,1475,3545,1490,Hatchback,19,24.07,740,160,Gas Filled Mc Pherson Strut,3-link rigid axle Suspension,1295,1290,68,90,5,2360,177,4.6,1
32,Maruti Suzuki,Alto KTen,Vxi (O),407238,998,3,BS IV,"Front, Transverse",35,Petrol,1460,3620,1475,Hatchback,14,17,755,160,Gas Filled Mc Pherson Strut,3-link rigid axle Suspension,1295,1290,68,90,5,2360,177,4.6,1
33,Maruti Suzuki,Alto KTen,Lxi Cng (O),439777,998,3,BS IV,"Front, Transverse",35,CNG,1475,3545,1490,Hatchback,0,0,740,160,Gas Filled Mc Pherson Strut,3-link rigid axle Suspension,1295,1290,59,78,5,2360,177,4.6,1
34,Maruti Suzuki,Alto KTen,Vxi Amt (O),438559,998,3,BS IV,"Front, Transverse",35,Petrol,1475,3545,1490,Hatchback,14,17,755,160,Gas Filled Mc Pherson Strut,3-link rigid axle Suspension,1295,1290,68,90,5,2360,177,4.6,1
35,Datsun,Go,D,374990,1198,3,BS IV,"Front, Transverse",35,Petrol,1507,3788,1636,Hatchback,0,0,864,180,MacPherson Strut with anti-roll bar,H-type Torsion Beam,1440,1445,68,104,5,2450,265,4.6,2
36,Datsun,Go,T,468229,1198,3,BS IV,"Front, Transverse",35,Petrol,1507,3788,1636,Hatchback,0,0,864,180,MacPherson Strut with anti-roll bar,H-type Torsion Beam,1440,1445,68,104,5,2450,265,4.6,2
37,Datsun,Go,T (O),502492,1198,3,BS IV,"Front, Transverse",35,Petrol,1507,3788,1636,Hatchback,20.6,0,864,180,MacPherson Strut with anti-roll bar,H-type Torsion Beam,1440,1445,68,104,5,2450,265,4.6,2
38,Datsun,Go,A (O),499990,1198,3,BS IV,"Front, Transverse",35,Petrol,1507,3788,1636,Hatchback,20.6,0,864,180,MacPherson Strut with anti-roll bar,H-type Torsion Beam,1440,1445,68,104,5,2450,265,4.6,2
39,Datsun,Go,A,469990,1198,3,BS IV,"Front, Transverse",35,Petrol,1507,3788,1636,Hatchback,20.6,0,864,180,MacPherson Strut with anti-roll bar,H-type Torsion Beam,1440,1445,68,104,5,2450,265,4.6,2
40,Datsun,Go,T Vdc,528464,1198,3,BS IV,"Front, Transverse",35,Petrol,1507,3788,1636,Hatchback,0,0,864,180,MacPherson Strut with anti-roll bar,H-type Torsion Beam,1440,1445,68,104,5,2450,265,4.6,2
41,Datsun,Go,T (O) Vdc,553015,1198,3,BS IV,"Front, Transverse",35,Petrol,1507,3788,1636,Hatchback,20.6,0,864,180,MacPherson Strut with anti-roll bar,H-type Torsion Beam,1440,1445,68,104,5,2450,265,4.6,2
42,Datsun,Go,T Cvt,594464,1198,3,BS IV,"Front, Transverse",35,Petrol,1507,3788,1636,Hatchback,0,0,864,180,MacPherson Strut with anti-roll bar,H-type Torsion Beam,1440,1445,78,104,5,2450,265,4.6,2
43,Datsun,Go,T (O) Cvt,618015,1198,3,BS IV,"Front, Transverse",35,Petrol,1507,3788,1636,Hatchback,20.6,0,864,180,MacPherson Strut with anti-roll bar,H-type Torsion Beam,1440,1445,78,104,5,2450,265,4.6,2
44,Maruti Suzuki,Celerio Tour,H2,422444,998,3,BS IV,"Front, Transverse",35,Petrol,1560,3600,1600,Hatchback,23,0,830,165,Macpherson strut with Coil Spring,Coupled Torsion Beam Axle with coil spring,1420,1410,68,90,5,2425,235,4.7,2
45,Maruti Suzuki,Celerio Tour,H2 Cng,480670,998,3,BS IV,"Front, Transverse",60,CNG,1560,3695,1600,Hatchback,0,0,915,165,Macpherson strut with Coil Spring,Coupled Torsion Beam Axle with coil spring,1420,1410,59,78,5,2425,235,4.7,2
46,Hyundai,Santro,Era Mt,429990,1086,4,BS IV,"Front, Transverse",35,Petrol,1560,3610,1645,Hatchback,0,0,0,0,0,0,1476,1494,69,99,5,2400,0,0,1
47,Hyundai,Santro,Magna Mt,503990,1086,4,BS IV,"Front, Transverse",35,Petrol,1560,3610,1645,Hatchback,0,0,0,0,0,0,1476,1494,69,99,5,2400,0,0,1
48,Hyundai,Santro,Magna Mt Cng,547990,1086,4,BS IV,"Front, Transverse",35,CNG,1560,3610,1645,Hatchback,0,0,0,0,0,0,1476,1494,59,99,5,2400,0,0,1
49,Hyundai,Santro,Magna Amt,530990,1086,4,BS IV,"Front, Transverse",35,Petrol,1560,3610,1645,Hatchback,0,0,0,0,Mc Pherson Strut,Coupled Torsion Beam Axle,1476,1494,69,10,5,2400,0,0,1
50,Hyundai,Santro,Sportz Mt,512990,1086,4,BS IV,"Front, Transverse",35,Petrol,1560,3610,1645,Hatchback,0,0,0,0,MacPherson Strut,Coupled Torsion Beam Axle,1463,1481,69,10,5,2400,0,0,1
51,Hyundai,Santro,Sportz Mt Cng,578990,1086,4,BS IV,"Front, Transverse",60,CNG,1560,3610,1645,Hatchback,0,0,0,0,McPherson Strut,Coupled Torsion Beam Axle,1463,1481,59,8,5,2400,0,0,1
52,Hyundai,Santro,Sportz Amt,570990,1086,4,BS IV,"Front, Transverse",35,Petrol,1560,3610,1645,Hatchback,0,0,0,0,Mc Pherson Struct,Coupled Torsion Beam Axle,1463,1481,69,10,5,2400,0,0,1
53,Hyundai,Santro,Asta Mt,556490,1086,4,BS IV,"Front, Transverse",35,Petrol,1560,3610,1645,Hatchback,0,0,0,0,0,0,1463,1481,69,99,5,2400,0,0,2
54,Tata,Tiago,Revotron Xe,460000,1199,3,BS 6,"Front, Transverse",35,Petrol,1535,3765,1677,Hatchback,0,0,935,0,"Independent, Lower Wishbone, Mcpherson Strut with coil spring",Semi-Independent; Twist beam with dual path strut,0,0,86,114,5,2400,0,0,2
55,Tata,Tiago,Revotron Xt,520000,1199,3,BS 6,"Front, Transverse",35,Petrol,1535,3746,1647,Hatchback,23.84,23,930,170,"Independent, Lower Wishbone, Mcpherson Strut with coil spring",Semi-Independent; Twist beam with dual path strut,1400,1420,86,114,5,2400,242,4.9,2
56,Tata,Tiago,Revotron Xz,570000,1199,3,BS 6,"Front, Transverse",35,Petrol,1535,3746,1647,Hatchback,23.84,23,930,170,"Independent, Lower Wishbone, Mcpherson Strut with coil spring",Semi-Independent; Twist beam with dual path strut,1400,1420,86,114,5,2400,242,4.9,2
57,Tata,Tiago,Revotron Xz Plus,599000,1199,3,BS 6,"Front, Transverse",35,Petrol,1535,3746,1647,Hatchback,23.84,23,930,170,"Independent, Lower Wishbone, Mcpherson Strut with coil spring",Semi-Independent; Twist beam with dual path strut,1400,1420,86,114,5,2400,242,4.9,2
58,Tata,Tiago,Revotron Xz Plus Dual Tone,610000,1199,3,BS 6,"Front, Transverse",35,Petrol,1535,3746,1647,Hatchback,23.84,23,930,170,"Independent, Lower Wishbone, Mcpherson Strut with coil spring",Semi-Independent; Twist beam with dual path strut,1400,1420,86,114,5,2400,242,4.9,2
59,Tata,Tiago,Revotron Xza,620000,1199,3,BS 6,"Front, Transverse",35,Petrol,1535,3746,1647,Hatchback,23.84,24,930,170,"Independent Lower Wishbone, McPherson Strut with coil Spring",Rear Twist beam with coil spring mounted on hydraulic shock absorbers,1400,1420,86,114,5,2400,240,0,2
60,Tata,Tiago,Revotron Xza Plus,649000,1199,3,BS 6,"Front, Transverse",35,Petrol,1535,3746,1647,Hatchback,23.84,24,930,170,"Independent Lower Wishbone, McPherson Strut with coil Spring",Rear Twist beam with coil spring mounted on hydraulic shock absorbers,1400,1420,86,114,5,2400,240,0,2
61,Tata,Tiago,Revotron Xza Plus Dual Tone,660000,1199,3,BS 6,"Front, Transverse",35,Petrol,1535,3746,1647,Hatchback,23.84,24,930,170,"Independent Lower Wishbone, McPherson Strut with coil Spring",Rear Twist beam with coil spring mounted on hydraulic shock absorbers,1400,1420,86,114,5,2400,240,0,2
62,Maruti Suzuki,Celerio X,Vxi (O),481074,998,3,BS IV,"Front, Transverse",35,Petrol,1560,3600,1600,Hatchback,23,22,810,165,Macpherson strut with Coil Spring,Coupled Torsion Beam Axle with coil spring,1420,1410,68,90,5,2425,235,4.7,2
63,Maruti Suzuki,Celerio X,Vxi,475198,998,3,BS IV,"Front, Transverse",35,Petrol,1560,3600,1600,Hatchback,23,22,810,165,Macpherson strut with Coil Spring,Coupled Torsion Beam Axle with coil spring,1420,1410,68,90,5,2425,235,4.7,1
64,Maruti Suzuki,Celerio X,Vxi Amt,518198,998,3,BS IV,"Front, Transverse",35,Petrol,1560,3600,1600,Hatchback,23,22,810,165,Macpherson strut with Coil Spring,Coupled Torsion Beam Axle with coil spring,1420,1410,68,90,5,2425,235,4.7,1
65,Maruti Suzuki,Celerio X,Vxi Amt (O),524074,998,3,BS IV,"Front, Transverse",35,Petrol,1560,3600,1600,Hatchback,23,22,810,165,Macpherson strut with Coil Spring,Coupled Torsion Beam Axle with coil spring,1420,1410,68,90,5,2425,235,4.7,2
66,Maruti Suzuki,Celerio X,Zxi,499734,998,3,BS IV,"Front, Transverse",35,Petrol,1560,3600,1600,Hatchback,23,22,810,165,Macpherson strut with Coil Spring,Coupled Torsion Beam Axle with coil spring,1420,1410,68,90,5,2425,235,4.7,1
67,Maruti Suzuki,Celerio X,Zxi (O),540350,998,3,BS IV,"Front, Transverse",35,Petrol,1560,3600,1600,Hatchback,23,22,810,165,Macpherson strut with Coil Spring,Coupled Torsion Beam Axle with coil spring,1420,1410,68,90,5,2425,235,4.7,2
68,Maruti Suzuki,Celerio X,Zxi Amt,542735,998,3,BS IV,"Front, Transverse",35,Petrol,1560,3600,1600,Hatchback,23,22,810,165,Macpherson strut with Coil Spring,Coupled Torsion Beam Axle with coil spring,1420,1410,68,90,5,2425,235,4.7,1
69,Maruti Suzuki,Celerio X,Zxi Amt (O),552350,998,3,BS IV,"Front, Transverse",35,Petrol,1560,3600,1600,Hatchback,23,22,810,165,Macpherson strut with Coil Spring,Coupled Torsion Beam Axle with coil spring,1420,1410,68,90,5,2425,235,4.7,2
70,Maruti Suzuki,Ignis,Alpha 1.2 Amt,713898,1197,4,BS IV,"Front, Transverse",32,Petrol,1595,3700,1690,Hatchback,20.89,0,860,180,McPherson Strut,Torsion Beam,0,0,83,113,5,2435,260,4.7,2
71,Maruti Suzuki,Ignis,Alpha 1.2 Mt,666898,1197,4,BS IV,"Front, Transverse",32,Petrol,1595,3700,1690,Hatchback,20.89,0,860,180,McPherson Strut,Torsion Beam,0,0,83,113,5,2435,260,4.7,2
72,Maruti Suzuki,Ignis,Delta 1.2 Amt,607841,1197,4,BS IV,"Front, Transverse",32,Petrol,1595,3700,1690,Hatchback,20.89,20.89,825,180,McPherson Strut,Torsion Beam,1460,1470,83,113,5,2435,260,4.7,2
73,Maruti Suzuki,Ignis,Delta 1.2 Mt,560841,1197,4,BS IV,"Front, Transverse",32,Petrol,1595,3700,1690,Hatchback,20.89,20.89,825,180,McPherson Strut,Torsion Beam,1460,1470,83,113,5,2435,260,4.7,2
74,Maruti Suzuki,Ignis,Sigma 1.2 Mt,483320,1197,4,BS IV,"Front, Transverse",32,Petrol,1595,3700,1690,Hatchback,20.89,0,825,180,McPherson Strut,Torsion Beam,0,0,83,113,5,2435,260,4.7,2
75,Maruti Suzuki,Ignis,Zeta 1.2 Amt,630320,1197,4,BS IV,"Front, Transverse",32,Petrol,1595,3700,1690,Hatchback,15.1,0,0,180,McPherson Strut,Torsion Beam,0,0,83,113,5,2435,260,4.7,2
76,Maruti Suzuki,Ignis,Zeta 1.2 Mt,583320,1197,4,BS IV,"Front, Transverse",32,Petrol,1595,3700,1690,Hatchback,20.89,0,0,180,McPherson Strut,Torsion Beam,0,0,83,113,5,2435,260,4.7,2
77,Renault,Triber,Rxe,495000,999,3,BS 6,"Front, Transverse",40,Petrol,1643,3990,1739,MUV,0,0,947,182,McPherson Strut,Torison Beam,1547,1545,72,96,7,2636,625,0,2
78,Renault,Triber,Rxl,559000,999,3,BS 6,"Front, Transverse",40,Petrol,1643,3990,1739,MUV,0,0,947,182,McPherson Strut,Torison Beam,1547,1545,72,96,7,2636,625,0,2
79,Renault,Triber,Rxt,609000,999,3,BS 6,"Front, Transverse",40,Petrol,1643,3990,1739,MUV,0,0,947,182,McPherson Strut,Torison Beam,1547,1545,72,96,7,2636,625,0,2
80,Renault,Triber,Rxz,663000,999,3,BS 6,"Front, Transverse",40,Petrol,1643,3990,1739,MUV,0,0,947,182,McPherson Strut,Torison Beam,1547,1545,72,96,7,2636,625,0,4
81,Premier,Rio,Gx,506000,1173,4,BS IV,"Front, Longitudinal",46,Petrol,1730,3970,1570,SUV,13,16,1080,200,McPherson strut & coil spring,5 rods system,1305,1310,76,103,5,2420,454,4.7,0
82,Premier,Rio,Ex,568623,1489,4,BS IV,"Front, Longitudinal",46,Diesel,1730,3970,1570,SUV,12,16,1145,200,McPherson strut & coil spring,5 rods system,1305,1310,64,152,5,2420,454,4.7,0
83,Premier,Rio,Glx,670000,1173,4,BS IV,"Front, Longitudinal",46,Petrol,1730,3970,1570,SUV,13,16,1080,200,McPherson strut & coil spring,5 rods system,1305,1310,76,103,5,2420,454,4.7,0
84,Premier,Rio,Dx,603000,1489,4,BS IV,"Front, Longitudinal",46,Diesel,1730,3970,1570,SUV,12,16,1145,200,McPherson strut & coil spring,5 rods system,1305,1310,64,152,5,2420,454,4.7,0
85,Premier,Rio,Lx,739000,1489,4,BS IV,"Front, Longitudinal",46,Diesel,1730,3970,1570,SUV,12,16,1145,200,McPherson strut & coil spring,5 rods system,1305,1310,64,152,5,2420,454,4.7,0
86,Premier,Rio,Crdi4,739000,1248,4,BS IV,"Front, Longitudinal",46,Diesel,1730,3970,1570,SUV,20,23.7,1145,200,McPherson strut & coil spring,5 rods system,1305,1310,72,183,5,2420,454,4.7,0
87,Toyota,Etios Liva,G,520300,1197,4,BS IV,"Front, Transverse",45,Petrol,1510,3884,1695,Hatchback,15.1,17.71,895,170,MacPherson Strut,Torsion Beam,1468,1474,80,104,5,2460,251,4.8,2
88,Toyota,Etios Liva,V,581000,1197,4,BS IV,"Front, Transverse",45,Petrol,1510,3884,1695,Hatchback,15.1,18.16,895,170,MacPherson Strut,Torsion Beam,1468,1474,80,104,5,2460,251,4.8,2
89,Toyota,Etios Liva,Gd,647800,1364,4,BS IV,"Front, Transverse",45,Diesel,1510,3884,1695,Hatchback,20.3,23.59,895,170,MacPherson Strut,Torsion Beam,1468,1474,68,170,5,2460,251,4.8,2
90,Toyota,Etios Liva,Vx,630000,1197,4,BS IV,"Front, Transverse",45,Petrol,1510,3884,1695,Hatchback,15.1,17.71,895,170,MacPherson Strut,Torsion Beam,1468,1474,80,104,5,2460,251,4.8,2
91,Toyota,Etios Liva,Vxd,745000,1364,4,BS IV,"Front, Transverse",45,Diesel,1510,3884,1695,Hatchback,20.3,23.08,895,170,MacPherson Strut,Torsion Beam,1468,1474,68,170,5,2460,251,4.8,2
92,Toyota,Etios Liva,Vd,704000,1364,4,BS IV,"Front, Transverse",45,Diesel,1510,3884,1695,Hatchback,20.3,23.08,895,170,MacPherson Strut,Torsion Beam,1468,1474,68,170,5,2460,251,4.8,2
93,Toyota,Etios Liva,Dual Tone V,597700,1197,4,BS IV,"Front, Transverse",45,Petrol,1510,3884,1695,Hatchback,15.1,18.16,895,170,MacPherson Strut,Torsion Beam,1468,1474,80,104,5,2460,251,4.8,2
94,Toyota,Etios Liva,Dual Tone Vd,720700,1364,4,BS IV,"Front, Transverse",45,Diesel,1510,3884,1695,Hatchback,20.3,23.08,895,170,MacPherson Strut,Torsion Beam,1468,1474,68,170,5,2460,251,4.8,2
95,Toyota,Etios Liva,Dual Tone Vx,641700,1197,4,BS IV,"Front, Transverse",45,Petrol,1510,3884,1695,Hatchback,15.1,17.71,895,170,MacPherson Strut,Torsion Beam,1468,1474,80,104,5,2460,251,4.8,2
96,Toyota,Etios Liva,Dual Tone Vxd,756700,1364,4,BS IV,"Front, Transverse",45,Diesel,1510,3884,1695,Hatchback,20.3,23.08,895,170,MacPherson Strut,Torsion Beam,1468,1474,68,170,5,2460,251,4.8,2
97,Toyota,Etios Liva,Gx,558400,1197,4,BS IV,"Front, Transverse",45,Petrol,1510,3884,1695,Hatchback,15.1,17.71,895,170,MacPherson Strut,Torsion Beam,1468,1474,80,104,5,2460,251,4.8,2
98,Toyota,Etios Liva,Gxd,686000,1364,4,BS IV,"Front, Transverse",45,Diesel,1510,3884,1695,Hatchback,20.3,23.59,895,170,MacPherson Strut,Torsion Beam,1468,1474,68,170,5,2460,251,4.8,2
99,Toyota,Etios Liva,Vx Dual Tone Limited Edition,662700,1197,4,BS IV,"Front, Transverse",45,Petrol,1510,3884,1695,Hatchback,15.1,17.71,895,170,MacPherson Strut,Torsion Beam,1468,1474,80,104,5,2460,251,4.8,2
100,Toyota,Etios Liva,Vxd Dual Tone Limited Edition,777700,1364,4,BS IV,"Front, Transverse",45,Diesel,1510,3884,1695,Hatchback,20.3,23.08,895,170,MacPherson Strut,Torsion Beam,1468,1474,68,170,5,2460,251,4.8,2
101,Nissan,Micra Active,Xl,525021,1198,3,BS IV,"Front, Transverse",41,Petrol,1530,3801,1665,Hatchback,0,0,0,154,Mc Pherson-strut,Torsion Beam,0,0,68,104,5,2450,251,4.65,2
102,Nissan,Micra Active,Xv,599950,1198,3,BS IV,"Front, Transverse",41,Petrol,1530,3801,1665,Hatchback,19.49,0,0,154,Mc Pherson Strut,Torsion Beam,0,0,68,104,5,2450,251,4.65,2
103,Nissan,Micra Active,Xl (O),563133,1198,3,BS IV,"Front, Transverse",41,Petrol,1530,3801,1665,Hatchback,0,0,0,154,Mc Pherson-strut,Torsion Beam,0,0,68,104,5,2450,251,4.65,2
104,Tata,Bolt,Xt Diesel,787980,1248,4,BS IV,"Front, Transverse",44,Diesel,1562,3825,1695,Hatchback,22.95,0,1132,165,Dual-path McPherson strut with coil spring and anti-roll bar,Twist Beam with Coil spring and Shock Absorber,0,0,75,190,5,2470,210,5.1,2
105,Tata,Bolt,Xe Diesel,661111,1248,4,BS IV,"Front, Transverse",44,Diesel,1562,3825,1695,Hatchback,22.95,0,1132,165,Dual-path McPherson strut with coil spring and anti-roll bar,Twist Beam with Coil spring and Shock Absorber,0,0,75,190,5,2470,210,5.1,0
106,Tata,Bolt,Xm Diesel,693798,1248,4,BS IV,"Front, Transverse",44,Diesel,1562,3825,1695,Hatchback,22.95,0,1132,165,Dual-path McPherson strut with coil spring and anti-roll bar,Twist Beam with Coil spring and Shock Absorber,0,0,75,190,5,2470,210,5.1,0
107,Tata,Bolt,Xms Diesel,719661,1248,4,BS IV,"Front, Transverse",44,Diesel,1562,3825,1695,Hatchback,22.95,0,1132,165,Dual-path McPherson strut with coil spring and anti-roll bar,Twist Beam with Coil spring and Shock Absorber,0,0,75,190,5,2470,210,5.1,2
108,Tata,Bolt,Xt Petrol,674960,1193,4,BS IV,"Front, Transverse",44,Petrol,1562,3825,1695,Hatchback,17.57,0,1095,165,Dual-path McPherson strut with coil spring and anti-roll bar,Twist Beam with Coil spring and Shock Absorber,0,0,90,140,5,2470,210,5.1,2
109,Tata,Bolt,Xe Petrol,529035,1193,4,BS IV,"Front, Transverse",44,Petrol,1562,3825,1695,Hatchback,17.57,0,1095,165,Dual-path McPherson strut with coil spring and anti-roll bar,Twist Beam with Coil spring and Shock Absorber,0,0,90,140,5,2470,210,5.1,0
